className, methodName, marks
class tests.ToDoTests,testIsConstant,2.0
class tests.ToDoTests,testContainsDuplicateLetter,2.0
class tests.ToDoTests,testContains,2.0
class tests.ToDoTests,testIsPalindrome,2.0
class tests.ToDoTests,testIsSorted,2.0
class tests.ToDoTests,testIsAscending,2.0
class tests.ToDoTests,testCountVowels,2.0
class tests.ToDoTests,testIsEnglishLetter,2.0
class tests.ToDoTests,testIsVowel,2.0
class tests.ToDoTests,testIsDescending,2.0
class tests.ToDoTests,testIsConstant,10.0
class tests.ToDoTests,testContainsDuplicateLetter,10.0
class tests.ToDoTests,testContains,10.0
class tests.ToDoTests,testIsPalindrome,10.0
class tests.ToDoTests,testIsSorted,10.0
class tests.ToDoTests,testIsAscending,10.0
class tests.ToDoTests,testCountVowels,10.0
class tests.ToDoTests,testIsEnglishLetter,10.0
class tests.ToDoTests,testIsVowel,10.0
class tests.ToDoTests,testIsDescending,10.0
class tests.ToDoTests,testIsConstant,10.0
class tests.ToDoTests,testContainsDuplicateLetter,10.0
class tests.ToDoTests,testContains,10.0
class tests.ToDoTests,testIsPalindrome,10.0
class tests.ToDoTests,testIsSorted,10.0
class tests.ToDoTests,testIsAscending,10.0
class tests.ToDoTests,testCountVowels,10.0
class tests.ToDoTests,testIsEnglishLetter,10.0
class tests.ToDoTests,testIsVowel,10.0
class tests.ToDoTests,testIsDescending,10.0
class tests.ToDoTests,testIsConstant,10.0
class tests.ToDoTests,testContainsDuplicateLetter,10.0
class tests.ToDoTests,testContains,10.0
class tests.ToDoTests,testIsPalindrome,10.0
class tests.ToDoTests,testIsSorted,10.0
class tests.ToDoTests,testIsAscending,10.0
class tests.ToDoTests,testCountVowels,10.0
class tests.ToDoTests,testIsEnglishLetter,10.0
class tests.ToDoTests,testIsVowel,10.0
class tests.ToDoTests,testIsDescending,10.0
class tests.ToDoTests,testIsConstant,10.0
class tests.ToDoTests,testContainsDuplicateLetter,10.0
class tests.ToDoTests,testContains,10.0
class tests.ToDoTests,testIsPalindrome,10.0
class tests.ToDoTests,testIsSorted,10.0
class tests.ToDoTests,testIsAscending,10.0
class tests.ToDoTests,testCountVowels,10.0
class tests.ToDoTests,testIsEnglishLetter,10.0
class tests.ToDoTests,testIsVowel,10.0
class tests.ToDoTests,testIsDescending,10.0
class tests.ToDoTests,testIsConstant,10.0
class tests.ToDoTests,testContainsDuplicateLetter,10.0
class tests.ToDoTests,testContains,10.0
class tests.ToDoTests,testIsPalindrome,10.0
class tests.ToDoTests,testIsSorted,10.0
class tests.ToDoTests,testIsAscending,10.0
class tests.ToDoTests,testCountVowels,10.0
class tests.ToDoTests,testIsEnglishLetter,10.0
class tests.ToDoTests,testIsValid,10.0
class tests.ToDoTests,testIsVowel,10.0
class tests.ToDoTests,testIsDescending,10.0
class tests.ToDoTests,testIsConstant,10.0
class tests.ToDoTests,testContainsDuplicateLetter,10.0
class tests.ToDoTests,testContains,10.0
class tests.ToDoTests,testIsPalindrome,10.0
class tests.ToDoTests,testIsSorted,10.0
class tests.ToDoTests,testIsAscending,10.0
class tests.ToDoTests,testCountVowels,10.0
class tests.ToDoTests,testIsEnglishLetter,10.0
class tests.ToDoTests,testIsValid,10.0
class tests.ToDoTests,testIsVowel,10.0
class tests.ToDoTests,testIsDescending,10.0
class tests.ToDoTests,testMatch,10.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testIsConstant,5.0
class tests.ToDoTests,testMatch,5.0
class tests.ToDoTests,testContainsDuplicateLetter,5.0
class tests.ToDoTests,testIsPalindrome,5.0
class tests.ToDoTests,testIsSorted,5.0
class tests.ToDoTests,testIsAscending,5.0
class tests.ToDoTests,testCountVowels,5.0
class tests.ToDoTests,testIsEnglishLetter,5.0
class tests.ToDoTests,testIsValid,5.0
class tests.ToDoTests,testIsVowel,5.0
class tests.ToDoTests,testIsDescending,5.0
class tests.ToDoTests,testContains,5.0
class tests.ToDoTests,testIsConstant,5.0
